Index,Start,Time,Type,Data,
0,1.55 ¦Ìs,1.1 ¦Ìs,RX bits,0,
1,2.65 ¦Ìs,1.075 ¦Ìs,RX bits,0,
2,1.55 ¦Ìs,1.1 ¦Ìs,TX bits,0,
3,2.65 ¦Ìs,1.075 ¦Ìs,TX bits,0,
4,3.725 ¦Ìs,1.1 ¦Ìs,RX bits,0,
5,4.825 ¦Ìs,1.075 ¦Ìs,RX bits,0,
6,3.725 ¦Ìs,1.1 ¦Ìs,TX bits,0,
7,4.825 ¦Ìs,1.075 ¦Ìs,TX bits,0,
8,5.9 ¦Ìs,1.075 ¦Ìs,RX bits,0,
9,6.975 ¦Ìs,1.1 ¦Ìs,RX bits,0,
10,5.9 ¦Ìs,1.075 ¦Ìs,TX bits,0,
11,6.975 ¦Ìs,1.1 ¦Ìs,TX bits,0,
12,8.075 ¦Ìs,1.075 ¦Ìs,RX bits,0,
13,9.15 ¦Ìs,1.1 ¦Ìs,RX bits,0,
14,8.075 ¦Ìs,1.075 ¦Ìs,TX bits,0,
15,9.15 ¦Ìs,1.1 ¦Ìs,TX bits,0,
16,1.55 ¦Ìs,8.7 ¦Ìs,RX data,00,
17,1.55 ¦Ìs,8.7 ¦Ìs,TX data,00,
18,10.25 ¦Ìs,525 ns,RX warnings,Stop bit error,
19,475 ns,22.85 ¦Ìs,RX breaks,Break condition,
20,10.25 ¦Ìs,525 ns,TX warnings,Stop bit error,
21,475 ns,23.2 ¦Ìs,TX breaks,Break condition,
22,24.425 ¦Ìs,1.1 ¦Ìs,RX bits,0,
23,24.8 ¦Ìs,1.1 ¦Ìs,TX bits,0,
24,25.525 ¦Ìs,1.075 ¦Ìs,RX bits,0,
25,25.9 ¦Ìs,1.075 ¦Ìs,TX bits,0,
26,26.6 ¦Ìs,1.1 ¦Ìs,RX bits,1,
27,26.975 ¦Ìs,1.1 ¦Ìs,TX bits,0,
28,27.7 ¦Ìs,1.075 ¦Ìs,RX bits,1,
29,28.075 ¦Ìs,1.075 ¦Ìs,TX bits,1,
30,28.775 ¦Ìs,1.075 ¦Ìs,RX bits,0,
31,29.15 ¦Ìs,1.075 ¦Ìs,TX bits,0,
32,29.85 ¦Ìs,1.1 ¦Ìs,RX bits,1,
33,30.225 ¦Ìs,1.1 ¦Ìs,TX bits,1,
34,30.95 ¦Ìs,1.075 ¦Ìs,RX bits,1,
35,31.325 ¦Ìs,1.075 ¦Ìs,TX bits,1,
36,32.025 ¦Ìs,1.1 ¦Ìs,RX bits,1,
37,24.425 ¦Ìs,8.7 ¦Ìs,RX data,EC,
38,32.4 ¦Ìs,1.1 ¦Ìs,TX bits,1,
39,24.8 ¦Ìs,8.7 ¦Ìs,TX data,E8,
40,33.9 ¦Ìs,550 ns,RX warnings,Start bit error,
41,52.331775 ms,1.1 ¦Ìs,TX bits,0,
42,52.332875 ms,1.075 ¦Ìs,TX bits,0,
43,52.33395 ms,1.1 ¦Ìs,TX bits,0,
44,52.33505 ms,1.075 ¦Ìs,TX bits,0,
45,52.336125 ms,1.075 ¦Ìs,TX bits,0,
46,52.3372 ms,1.1 ¦Ìs,TX bits,0,
47,52.3383 ms,1.075 ¦Ìs,TX bits,0,
48,52.339375 ms,1.1 ¦Ìs,TX bits,0,
49,52.331775 ms,8.7 ¦Ìs,TX data,00,
50,52.340475 ms,525 ns,TX warnings,Stop bit error,
51,52.3307 ms,46.225 ¦Ìs,TX breaks,Break condition,
52,1.071924 s,1.1 ¦Ìs,RX bits,1,
53,1.071925 s,1.075 ¦Ìs,RX bits,0,
54,1.071926 s,1.1 ¦Ìs,RX bits,1,
55,1.071927 s,1.075 ¦Ìs,RX bits,0,
56,1.071928 s,1.075 ¦Ìs,RX bits,1,
57,1.071929 s,1.1 ¦Ìs,RX bits,1,
58,1.07193 s,1.075 ¦Ìs,RX bits,0,
59,1.071931 s,1.1 ¦Ìs,RX bits,1,
60,1.071924 s,8.7 ¦Ìs,RX data,B5,
61,1.071935 s,1.1 ¦Ìs,RX bits,0,
62,1.071937 s,1.075 ¦Ìs,RX bits,1,
63,1.071938 s,1.1 ¦Ìs,RX bits,0,
64,1.071939 s,1.075 ¦Ìs,RX bits,0,
65,1.07194 s,1.075 ¦Ìs,RX bits,0,
66,1.071941 s,1.1 ¦Ìs,RX bits,1,
67,1.071942 s,1.075 ¦Ìs,RX bits,1,
68,1.071943 s,1.1 ¦Ìs,RX bits,0,
69,1.071935 s,8.7 ¦Ìs,RX data,62,
70,1.071947 s,1.1 ¦Ìs,RX bits,0,
71,1.071948 s,1.075 ¦Ìs,RX bits,1,
72,1.071949 s,1.1 ¦Ìs,RX bits,0,
73,1.071951 s,1.075 ¦Ìs,RX bits,1,
74,1.071952 s,1.075 ¦Ìs,RX bits,0,
75,1.071953 s,1.1 ¦Ìs,RX bits,0,
76,1.071954 s,1.075 ¦Ìs,RX bits,0,
77,1.071955 s,1.1 ¦Ìs,RX bits,0,
78,1.071947 s,8.7 ¦Ìs,RX data,0A,
79,1.071959 s,1.1 ¦Ìs,RX bits,0,
80,1.07196 s,1.075 ¦Ìs,RX bits,0,
81,1.071961 s,1.1 ¦Ìs,RX bits,1,
82,1.071963 s,1.075 ¦Ìs,RX bits,0,
83,1.071964 s,1.075 ¦Ìs,RX bits,0,
84,1.071965 s,1.1 ¦Ìs,RX bits,0,
85,1.071966 s,1.075 ¦Ìs,RX bits,0,
86,1.071967 s,1.1 ¦Ìs,RX bits,0,
87,1.071959 s,8.7 ¦Ìs,RX data,04,
88,1.071971 s,1.1 ¦Ìs,RX bits,0,
89,1.071972 s,1.075 ¦Ìs,RX bits,0,
90,1.071973 s,1.1 ¦Ìs,RX bits,0,
91,1.071974 s,1.075 ¦Ìs,RX bits,0,
92,1.071975 s,1.075 ¦Ìs,RX bits,0,
93,1.071977 s,1.1 ¦Ìs,RX bits,0,
94,1.071978 s,1.075 ¦Ìs,RX bits,0,
95,1.071979 s,1.1 ¦Ìs,RX bits,0,
96,1.071971 s,8.7 ¦Ìs,RX data,00,
97,1.071983 s,1.1 ¦Ìs,RX bits,0,
98,1.071984 s,1.075 ¦Ìs,RX bits,0,
99,1.071985 s,1.1 ¦Ìs,RX bits,0,
100,1.071986 s,1.075 ¦Ìs,RX bits,0,
101,1.071987 s,1.075 ¦Ìs,RX bits,0,
102,1.071988 s,1.1 ¦Ìs,RX bits,0,
103,1.07199 s,1.075 ¦Ìs,RX bits,0,
104,1.071991 s,1.1 ¦Ìs,RX bits,0,
105,1.071983 s,8.7 ¦Ìs,RX data,00,
106,1.071995 s,1.1 ¦Ìs,RX bits,0,
107,1.071996 s,1.075 ¦Ìs,RX bits,1,
108,1.071997 s,1.1 ¦Ìs,RX bits,1,
109,1.071998 s,1.075 ¦Ìs,RX bits,1,
110,1.071999 s,1.075 ¦Ìs,RX bits,0,
111,1.072 s,1.1 ¦Ìs,RX bits,0,
112,1.072001 s,1.075 ¦Ìs,RX bits,0,
113,1.072003 s,1.1 ¦Ìs,RX bits,0,
114,1.071995 s,8.7 ¦Ìs,RX data,0E,
115,1.072007 s,1.1 ¦Ìs,RX bits,0,
116,1.072008 s,1.075 ¦Ìs,RX bits,0,
117,1.072009 s,1.1 ¦Ìs,RX bits,1,
118,1.07201 s,1.075 ¦Ìs,RX bits,0,
119,1.072011 s,1.075 ¦Ìs,RX bits,1,
120,1.072012 s,1.1 ¦Ìs,RX bits,1,
121,1.072013 s,1.075 ¦Ìs,RX bits,0,
122,1.072014 s,1.1 ¦Ìs,RX bits,0,
123,1.072007 s,8.7 ¦Ìs,RX data,34,
124,1.07255 s,1.1 ¦Ìs,TX bits,1,
125,1.072552 s,1.075 ¦Ìs,TX bits,0,
126,1.072553 s,1.1 ¦Ìs,TX bits,1,
127,1.072554 s,1.075 ¦Ìs,TX bits,0,
128,1.072555 s,1.075 ¦Ìs,TX bits,1,
129,1.072556 s,1.1 ¦Ìs,TX bits,1,
130,1.072557 s,1.075 ¦Ìs,TX bits,0,
131,1.072558 s,1.1 ¦Ìs,TX bits,1,
132,1.07255 s,8.7 ¦Ìs,TX data,B5,
133,1.072561 s,1.1 ¦Ìs,TX bits,0,
134,1.072562 s,1.075 ¦Ìs,TX bits,1,
135,1.072563 s,1.1 ¦Ìs,TX bits,0,
136,1.072564 s,1.075 ¦Ìs,TX bits,0,
137,1.072566 s,1.075 ¦Ìs,TX bits,0,
138,1.072567 s,1.1 ¦Ìs,TX bits,1,
139,1.072568 s,1.075 ¦Ìs,TX bits,1,
140,1.072569 s,1.1 ¦Ìs,TX bits,0,
141,1.072561 s,8.7 ¦Ìs,TX data,62,
142,1.072572 s,1.1 ¦Ìs,TX bits,0,
143,1.072573 s,1.075 ¦Ìs,TX bits,1,
144,1.072574 s,1.1 ¦Ìs,TX bits,0,
145,1.072575 s,1.075 ¦Ìs,TX bits,1,
146,1.072576 s,1.075 ¦Ìs,TX bits,0,
147,1.072578 s,1.1 ¦Ìs,TX bits,0,
148,1.072579 s,1.075 ¦Ìs,TX bits,0,
149,1.07258 s,1.1 ¦Ìs,TX bits,0,
150,1.072572 s,8.7 ¦Ìs,TX data,0A,
151,1.072583 s,1.1 ¦Ìs,TX bits,0,
152,1.072584 s,1.075 ¦Ìs,TX bits,0,
153,1.072585 s,1.1 ¦Ìs,TX bits,1,
154,1.072586 s,1.075 ¦Ìs,TX bits,0,
155,1.072587 s,1.075 ¦Ìs,TX bits,0,
156,1.072588 s,1.1 ¦Ìs,TX bits,0,
157,1.072589 s,1.075 ¦Ìs,TX bits,0,
158,1.072591 s,1.1 ¦Ìs,TX bits,0,
159,1.072583 s,8.7 ¦Ìs,TX data,04,
160,1.072594 s,1.1 ¦Ìs,TX bits,0,
161,1.072595 s,1.075 ¦Ìs,TX bits,0,
162,1.072596 s,1.1 ¦Ìs,TX bits,0,
163,1.072597 s,1.075 ¦Ìs,TX bits,0,
164,1.072598 s,1.075 ¦Ìs,TX bits,0,
165,1.072599 s,1.1 ¦Ìs,TX bits,1,
166,1.0726 s,1.075 ¦Ìs,TX bits,0,
167,1.072601 s,1.1 ¦Ìs,TX bits,1,
168,1.072594 s,8.7 ¦Ìs,TX data,A0,
169,1.072605 s,1.1 ¦Ìs,TX bits,0,
170,1.072606 s,1.075 ¦Ìs,TX bits,0,
171,1.072607 s,1.1 ¦Ìs,TX bits,0,
